reference_period,type_of_service,aggregation_level,state,county,state_fips,county_fips,number_of_fee_for_service_beneficiaries,number_of_providers,average_number_of_users_per_provider,percentage_of_users_out_of_ffs_beneficiaries,number_of_users,average_number_of_providers_per_county,number_of_dual_eligible_users,percentage_of_dual_eligible_users_out_of_total_users,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries,total_payment,moratorium,number_of_fee_for_service_beneficiaries_dual_color,number_of_fee_for_service_beneficiaries_description,number_of_providers_dual_color,number_of_providers_description,average_number_of_users_per_provider_dual_color,average_number_of_users_per_provider_description,percentage_of_users_out_of_ffs_beneficiaries_dual_color,percentage_of_users_out_of_ffs_beneficiaries_description,number_of_users_dual_color,number_of_users_description,average_number_of_providers_per_county_dual_color,average_number_of_providers_per_county_description,number_of_dual_eligible_users_dual_color,number_of_dual_eligible_users_description,percentage_of_dual_eligible_users_out_of_total_users_dual_color,percentage_of_dual_eligible_users_out_of_total_users_description,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_dual_color,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_description,total_payment_dual_color,total_payment_description,number_of_fee_for_service_beneficiaries_change,number_of_providers_change,average_number_of_users_per_provider_change,percentage_of_users_out_of_ffs_beneficiaries_change,number_of_users_change,average_number_of_providers_per_county_change,number_of_dual_eligible_users_change,percentage_of_dual_eligible_users_out_of_total_users_change,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_change,total_payment_change
"2022-01-01 to 2022-12-31","Federally Qualified Health Center (FQHC)",COUNTY,MI,WAYNE,26,163,"161,547",28,76.36,1.32%,"2,138",28,"1,448",67.73%,3.73%,"$912,675.57",No,"BLUE 5","Extreme Values (More than 26,111 Beneficiaries)","BLUE 5","Extreme Values (More than 10 Providers)","BLUE 3","Third Lowest 25% (75.00 - 127.60 Users)","BLUE 1","Lowest 25% (Less than 1.37% of Users)","BLUE 5","Extreme Values (More than 1,198 Users)","BLUE 5","Extreme Values (More than 10.99 Providers)","BLUE 5","Extreme Values (More than 471 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (45.45% - 77.95% of Total Users)","BLUE 1","Lowest 25% (Less than 6.15% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $595,081.69 )"," "," "," "," "," "," "," "," "," "," "
"2022-01-01 to 2022-12-31","Home Health",COUNTY,MI,WAYNE,26,163,"161,547",179,84.96,9.41%,"15,208",179,"5,528",36.35%,14.22%,"$73,701,488.90",No,"BLUE 5","Extreme Values (More than 22,086 Beneficiaries)","BLUE 5","Extreme Values (More than 14 Providers)","BLUE 3","Third Lowest 25% (67.00 - 119.19 Users)","BLUE 4","Top 25% Excl. Extreme Values (8.10% - 13.12% of Users)","BLUE 5","Extreme Values (More than 1,550 Users)","BLUE 5","Extreme Values (More than 14.49 Providers)","BLUE 5","Extreme Values (More than 286 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (21.62% - 36.61% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (11.31% - 18.22% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $8,316,006.02 )"," "," "," "," "," "," "," "," "," "," "
"2022-01-01 to 2022-12-31",Hospice,COUNTY,MI,WAYNE,26,163,"161,547",44,73.86,2.01%,"3,250",44,862,26.52%,2.22%,"$37,977,110.84",No,"BLUE 5","Extreme Values (More than 23,164 Beneficiaries)","BLUE 5","Extreme Values (More than 10 Providers)","BLUE 4","Top 25% Excl. Extreme Values (70.38 - 126.44 Users)","BLUE 2","Second Lowest 25% (1.99% - 2.43% of Users)","BLUE 5","Extreme Values (More than 568 Users)","BLUE 5","Extreme Values (More than 10.99 Providers)","BLUE 5","Extreme Values (More than 122 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (23.63% - 40.37% of Total Users)","BLUE 1","Lowest 25% (Less than 2.59% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $7,909,952.32 )"," "," "," "," "," "," "," "," "," "," "
"2022-01-01 to 2022-12-31","Independent Diagnostic Testing Facility Pt A",COUNTY,MI,WAYNE,26,163,"161,547",79,962.86,47.09%,"76,066",79,"19,641",25.82%,50.53%,"$204,922,313.38",No,"BLUE 5","Extreme Values (More than 21,288 Beneficiaries)","BLUE 5","Extreme Values (More than 36 Providers)","BLUE 5","Extreme Values (More than 605.45 Users)","BLUE 3","Third Lowest 25% (43.95% - 52.43% of Users)","BLUE 5","Extreme Values (More than 10,695 Users)","BLUE 5","Extreme Values (More than 36.99 Providers)","BLUE 5","Extreme Values (More than 1,384 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (16.28% - 27.66% of Total Users)","BLUE 3","Third Lowest 25% (45.96% - 53.82% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $29,221,739.18 )"," "," "," "," "," "," "," "," "," "," "
"2022-01-01 to 2022-12-31","Independent Diagnostic Testing Facility Pt B",COUNTY,MI,WAYNE,26,163,"161,539",42,147.40,3.83%,"6,191",42,"1,971",31.84%,5.04%,"$2,384,368.85",No,"BLUE 5","Extreme Values (More than 22,114 Beneficiaries)","BLUE 5","Extreme Values (More than 21 Providers)","BLUE 5","Extreme Values (More than 124.07 Users)","BLUE 2","Second Lowest 25% (3.80% - 4.90% of Users)","BLUE 5","Extreme Values (More than 1,289 Users)","BLUE 5","Extreme Values (More than 21.99 Providers)","BLUE 5","Extreme Values (More than 188 Dual Eligible Users)","BLUE 5","Extreme Values (More than 29.67% of Total Users)","BLUE 2","Second Lowest 25% (3.83% - 5.13% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $462,971.83 )"," "," "," "," "," "," "," "," "," "," "
"2022-01-01 to 2022-12-31","Long-Term Care Hospitals",COUNTY,MI,WAYNE,26,163,"161,547",7,67.29,0.29%,471,7,215,45.65%,0.55%,"$23,275,788.13",No,"BLUE 5","Extreme Values (More than 78,881 Beneficiaries)","BLUE 5","Extreme Values (More than 2 Providers)","BLUE 4","Top 25% Excl. Extreme Values (51.00 - 95.99 Users)","BLUE 3","Third Lowest 25% (0.19% - 0.38% of Users)","BLUE 5","Extreme Values (More than 108 Users)","BLUE 5","Extreme Values (More than 2.49 Providers)","BLUE 5","Extreme Values (More than 72 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (42.21% - 69.46% of Total Users)","BLUE 2","Second Lowest 25% (0.31% - 0.56% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $5,683,232.36 )"," "," "," "," "," "," "," "," "," "," "
"2022-01-01 to 2022-12-31",Neurology,COUNTY,MI,WAYNE,26,163,"162,131",75,45.20,2.09%,"3,390",75,"1,350",39.82%,3.47%,"$687,171.13",No,"BLUE 5","Extreme Values (More than 28,373 Beneficiaries)","BLUE 5","Extreme Values (More than 4 Providers)","BLUE 2","Second Lowest 25% (38.27 - 49.64 Users)","BLUE 5","Extreme Values (More than 2.03% of Users)","BLUE 5","Extreme Values (More than 304 Users)","BLUE 5","Extreme Values (More than 4.99 Providers)","BLUE 5","Extreme Values (More than 108 Dual Eligible Users)","BLUE 5","Extreme Values (More than 39.40% of Total Users)","BLUE 5","Extreme Values (More than 3.38% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $43,312.36 )"," "," "," "," "," "," "," "," "," "," "
"2022-01-01 to 2022-12-31",Ophthalmology,COUNTY,MI,WAYNE,26,163,"161,539",422,101.49,26.51%,"42,828",422,"9,064",21.16%,23.20%,"$27,658,392.27",No,"BLUE 5","Extreme Values (More than 21,334 Beneficiaries)","BLUE 5","Extreme Values (More than 92 Providers)","BLUE 4","Top 25% Excl. Extreme Values (79.11 - 141.11 Users)","BLUE 1","Lowest 25% (Less than 27.41% of Users)","BLUE 5","Extreme Values (More than 6,854 Users)","BLUE 5","Extreme Values (More than 92.99 Providers)","BLUE 5","Extreme Values (More than 629 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (12.55% - 22.25% of Total Users)","BLUE 3","Third Lowest 25% (22.79% - 26.31% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $4,137,353.89 )"," "," "," "," "," "," "," "," "," "," "
"2022-01-01 to 2022-12-31","Physical & Occupational Therapy",COUNTY,MI,WAYNE,26,163,"161,539",468,24.56,7.12%,"11,495",468,"2,645",23.01%,6.77%,"$14,024,570.34",No,"BLUE 5","Extreme Values (More than 22,072 Beneficiaries)","BLUE 5","Extreme Values (More than 50 Providers)","BLUE 1","Lowest 25% (Less than 29.13 Users)","BLUE 3","Third Lowest 25% (6.23% - 9.00% of Users)","BLUE 5","Extreme Values (More than 1,778 Users)","BLUE 5","Extreme Values (More than 50.99 Providers)","BLUE 5","Extreme Values (More than 202 Dual Eligible Users)","BLUE 5","Extreme Values (More than 22.81% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (6.68% - 11.37% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,596,804.43 )"," "," "," "," "," "," "," "," "," "," "
"2022-01-01 to 2022-12-31","Podiatry Services",COUNTY,MI,WAYNE,26,163,"161,818",281,97.22,16.88%,"27,320",281,"9,433",34.53%,24.12%,"$6,692,589.98",No,"BLUE 5","Extreme Values (More than 21,817 Beneficiaries)","BLUE 5","Extreme Values (More than 27 Providers)","BLUE 4","Top 25% Excl. Extreme Values (93.17 - 175.17 Users)","BLUE 4","Top 25% Excl. Extreme Values (11.45% - 18.58% of Users)","BLUE 5","Extreme Values (More than 2,287 Users)","BLUE 5","Extreme Values (More than 27.99 Providers)","BLUE 5","Extreme Values (More than 415 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (23.39% - 40.05% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (17.66% - 29.44% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $452,087.47 )"," "," "," "," "," "," "," "," "," "," "
"2022-01-01 to 2022-12-31","Preventive Health Services",COUNTY,MI,WAYNE,26,163,"161,539","1,907",44.68,52.74%,"85,201","1,907.00","22,158",26.01%,56.71%,"$14,326,307.50",No,"BLUE 5","Extreme Values (More than 21,260 Beneficiaries)","BLUE 5","Extreme Values (More than 243 Providers)","BLUE 2","Second Lowest 25% (35.86 - 45.14 Users)","BLUE 2","Second Lowest 25% (46.48% - 54.87% of Users)","BLUE 5","Extreme Values (More than 12,531 Users)","BLUE 5","Extreme Values (More than 243.49 Providers)","BLUE 5","Extreme Values (More than 1,380 Dual Eligible Users)","BLUE 5","Extreme Values (More than 25.35% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (56.23% - 79.80% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,087,499.90 )"," "," "," "," "," "," "," "," "," "," "
"2022-01-01 to 2022-12-31",Psychotherapy,COUNTY,MI,WAYNE,26,163,"161,539",357,33.08,7.31%,"11,810",357,"5,735",48.56%,14.68%,"$8,999,040.12",No,"BLUE 5","Extreme Values (More than 22,896 Beneficiaries)","BLUE 5","Extreme Values (More than 24 Providers)","BLUE 1","Lowest 25% (Less than 36.33 Users)","BLUE 5","Extreme Values (More than 7.28% of Users)","BLUE 5","Extreme Values (More than 964 Users)","BLUE 5","Extreme Values (More than 24.99 Providers)","BLUE 5","Extreme Values (More than 341 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (41.51% - 66.03% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (13.17% - 22.39% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $537,648.02 )"," "," "," "," "," "," "," "," "," "," "
"2022-01-01 to 2022-12-31",Pulmonology,COUNTY,MI,WAYNE,26,163,"161,539","1,213",30.03,22.55%,"36,426","1,213.00","10,006",27.47%,25.61%,"$6,301,818.89",No,"BLUE 5","Extreme Values (More than 21,329 Beneficiaries)","BLUE 5","Extreme Values (More than 136 Providers)","BLUE 1","Lowest 25% (Less than 37.68 Users)","BLUE 3","Third Lowest 25% (21.87% - 24.67% of Users)","BLUE 5","Extreme Values (More than 5,025 Users)","BLUE 5","Extreme Values (More than 136.49 Providers)","BLUE 5","Extreme Values (More than 612 Dual Eligible Users)","BLUE 5","Extreme Values (More than 26.33% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (24.08% - 32.32% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $810,471.94 )"," "," "," "," "," "," "," "," "," "," "
"2022-01-01 to 2022-12-31","Skilled Nursing Facility",COUNTY,MI,WAYNE,26,163,"161,547",109,55.75,3.76%,"6,077",109,"2,358",38.80%,6.07%,"$95,227,891.23",No,"BLUE 5","Extreme Values (More than 23,298 Beneficiaries)","BLUE 5","Extreme Values (More than 15 Providers)","BLUE 3","Third Lowest 25% (49.00 - 64.49 Users)","BLUE 3","Third Lowest 25% (3.26% - 4.05% of Users)","BLUE 5","Extreme Values (More than 789 Users)","BLUE 5","Extreme Values (More than 15.99 Providers)","BLUE 5","Extreme Values (More than 206 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (33.33% - 54.74% of Total Users)","BLUE 2","Second Lowest 25% (5.07% - 6.74% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $13,357,881.48 )"," "," "," "," "," "," "," "," "," "," "
"2022-01-01 to 2022-12-31",Telemedicine,COUNTY,MI,WAYNE,26,163,"161,539",261,44.57,7.20%,"11,632",261,"5,065",43.54%,12.96%,"$2,904,893.05",No,"BLUE 5","Extreme Values (More than 22,202 Beneficiaries)","BLUE 5","Extreme Values (More than 14 Providers)","BLUE 2","Second Lowest 25% (44.26 - 57.99 Users)","BLUE 4","Top 25% Excl. Extreme Values (4.25% - 7.39% of Users)","BLUE 5","Extreme Values (More than 741 Users)","BLUE 5","Extreme Values (More than 14.99 Providers)","BLUE 5","Extreme Values (More than 227 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (37.50% - 63.19% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (9.84% - 16.84% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $138,780.90 )"," "," "," "," "," "," "," "," "," "," "
